,EMP_HOURS_1997.48,EMP_HOURS_1998.48,EMP_HOURS_1999.48,EMP_HOURS_2000.48,EMP_HOURS_2001.48,EMP_HOURS_2002.48,EMP_HOURS_2003.48,EMP_HOURS_2004.48,EMP_HOURS_2005.48,EMP_HOURS_2006.48,EMP_HOURS_2007.48,EMP_HOURS_2008.48,EMP_HOURS_2009.48,EMP_HOURS_2010.48,EMP_HOURS_2011.48,EMP_HOURS_2012.48,EMP_HOURS_2013.48,EMP_HOURS_2014.48,EMP_HOURS_2015.48,EMP_HOURS_2016.48,EMP_HOURS_2017.48,EMP_HOURS_2018.48,EMP_HOURS_2019.48,SCH_COLLEGE_STATUS_2012.12,SCH_COLLEGE_STATUS_2013.12,SCH_COLLEGE_STATUS_2014.12,SCH_COLLEGE_STATUS_2015.12,SCH_COLLEGE_STATUS_2016.12,SCH_COLLEGE_STATUS_2017.12,SCH_COLLEGE_STATUS_2018.12,SCH_COLLEGE_STATUS_2019.12,MAR_STATUS_1997.12,MAR_STATUS_1998.12,MAR_STATUS_1999.12,MAR_STATUS_2000.12,MAR_STATUS_2001.12,MAR_STATUS_2002.12,MAR_STATUS_2003.12,MAR_STATUS_2004.12,MAR_STATUS_2005.12,MAR_STATUS_2006.12,MAR_STATUS_2007.12,MAR_STATUS_2008.12,MAR_STATUS_2009.12,MAR_STATUS_2010.12,MAR_STATUS_2011.12,MAR_STATUS_2012.12,MAR_STATUS_2013.12,MAR_STATUS_2014.12,MAR_STATUS_2015.12,MAR_STATUS_2016.12,MAR_STATUS_2017.12,MAR_STATUS_2018.12,MAR_STATUS_2019.12,PUBID,YSAQ-299,YOUTH_NONR1INHH.01,YOUTH_PARENTGUAR.01,KEY!SEX,KEY!AGEDOL,CV_ENROLLSTAT,CV_BIO_CHILD_HH,CV_BIO_CHILD_NR,CV_SAMPLE_TYPE,YOUTH_SIBID01.01,YOUTH_SIBID02.01,YOUTH_SIBID03.01,YOUTH_SIBID04.01,KEY!RACE_ETHNICITY,YSAQ-299.1,YSAQ-299B,CV_ENROLLSTAT_EDT,CV_BIO_CHILD_HH.1,CV_BIO_CHILD_NR.1,YSAQ-299.2,YSAQ-299B.1,CV_ENROLLSTAT_EDT.1,CV_BIO_CHILD_HH.2,CV_BIO_CHILD_NR.2,YSAQ-299.3,YSAQ-299B.2,CV_ENROLLSTAT_EDT.2,CV_BIO_CHILD_HH.3,CV_BIO_CHILD_NR.3,YSAQ-299.4,YSAQ-299B.3,CV_ENROLLSTAT_EDT.3,CV_BIO_CHILD_HH.4,CV_BIO_CHILD_NR.4,YSAQ2-299,YSAQ2-299B,CV_ENROLLSTAT_EDT.4,CV_BIO_CHILD_HH.5,CV_BIO_CHILD_NR.5,CV_ENROLLSTAT_EDT.5,CV_BIO_CHILD_HH.6,CV_BIO_CHILD_NR.6,YSAQ2-299.1,YSAQ2-299B.1,CV_ENROLLSTAT_EDT.6,CV_BIO_CHILD_HH.7,CV_BIO_CHILD_NR.7,YSAQ2-299.2,YSAQ2-299B.2,CV_ENROLLSTAT.1,CV_BIO_CHILD_HH.8,CV_BIO_CHILD_NR.8,YSAQ2-299.3,YSAQ2-299B.3,CV_ENROLLSTAT.2,CV_BIO_CHILD_HH.9,CV_BIO_CHILD_NR.9,YSAQ2-299B.4,CV_ENROLLSTAT.3,CV_BIO_CHILD_HH.10,CV_BIO_CHILD_NR.10,YSAQ2-299B.5,CV_ENROLLSTAT.4,CV_BIO_CHILD_HH.11,CV_BIO_CHILD_NR.11,YSAQ2-299B.6,CV_ENROLLSTAT.5,CV_BIO_CHILD_HH.12,CV_BIO_CHILD_NR.12,YSAQ2-299B.7,CV_ENROLLSTAT.6,CV_BIO_CHILD_HH.13,CV_BIO_CHILD_NR.13,YSAQ2-299B.8,CV_ENROLLSTAT.7,CV_BIO_CHILD_HH.14,CV_BIO_CHILD_NR.14,YSAQ2-299B.9,CV_BIO_CHILD_HH.15,CV_BIO_CHILD_NR.15,YSAQ2-299.4,CV_BIO_CHILD_HH.16,CV_BIO_CHILD_NR.16,YSAQ2-299.5,CV_BIO_CHILD_HH.17,CV_BIO_CHILD_NR.17,CV_BIO_CHILD_HH_U18,CV_BIO_CHILD_NR_U18
3,1,2,0,2,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,4,0,0,1,2,15,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,1,3,-4,-4,-4,1,3,-4,-4,-4,1,3,-4,-4,-4,-4,4,1,0,4,1,0,-4,-4,4,1,0,-4,-4,9,1,0,-4,-4,9,1,0,1,4,1,0,1,4,1,0,1,4,2,0,1,4,2,0,1,4,2,0,1,2,0,-4,1,1,-4,1,1,1,1
5,0,0,0,1,1,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,0,0,1,2,14,8,-4,-4,1,7,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,4,-4,-4,-4,-4,4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-1,10,-4,-4,1,10,1,0,1,4,1,0,1,4,1,0,-1,4,1,0,-1,1,0,-4,2,0,-4,2,0,2,0
7,1,1,1,1,0,1,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,0,1,1,2,15,8,-4,-4,1,9,10,-4,-4,4,-4,1,8,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,1,4,-4,-4,-4,-4,10,-4,-4,6,-4,-4,-4,1,6,-4,-4,-4,-4,6,-4,-4,-4,1,6,-4,-4,1,11,-4,-4,1,-5,-5,-5,-5,7,-4,-4,1,-5,-5,-5,-5,7,-4,-4,1,-5,-5,-5,-4,-4,-4,-5,-5,1,0
8,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,9,0,1,1,1,14,8,-4,-4,1,8,10,-4,-4,4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,1,-4,10,-4,-4,10,-4,-4,-4,1,10,-4,-4,-4,-4,6,-4,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,-2,11,-4,-4,1,11,-4,-4,0,7,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
9,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,10,-4,1,1,1,12,8,-4,-4,1,8,9,-4,-4,4,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,0,-4,10,-4,-4,10,-4,-4,0,-4,10,-4,-4,0,-4,10,-4,-4,0,-4,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,0,1,0
10,0,1,0,0,0,0,0,0,0,2,2,2,1,1,0,2,2,2,2,2,2,2,2,1,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,2,11,0,0,1,2,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,3,-4,-4,-4,1,4,-4,-4,-4,-4,9,-4,-4,9,-4,-4,-4,1,4,0,1,-4,1,10,1,0,-4,1,4,1,0,1,10,1,0,1,10,1,0,1,10,1,0,1,10,1,0,1,-3,0,1,1,0,0,-4,0,0,-4,1,0,1,0
13,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,16,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,0,1,-1,-5,-5,-5,0,1,-4,0,1,-5,-5
14,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,0,0,0,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,-4,1,1,2,13,8,-4,-4,1,-4,-4,-4,-4,2,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,0,-4,9,-4,-4,9,-4,-4,0,-4,10,-4,-4,-1,-4,10,-4,-4,-4,-4,10,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,-4,-1,4,-4,-4,1,4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,1,0
15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,2,0,2,1,1,1,1,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,16,0,0,1,1,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,1,3,-4,-4,-4,0,10,-4,-4,10,-4,-4,-4,1,9,-4,-4,-4,0,9,-4,-4,-4,0,9,-4,-4,0,9,-4,-4,-1,5,0,1,-1,10,0,1,1,5,0,1,1,5,0,1,1,0,1,-4,0,1,-4,0,1,0,1
18,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,-4,0,1,1,12,8,-4,-4,1,18,-4,-4,-4,1,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-3,-4,-4,-4,-4,-3,-4,-4,-4,-4,-3,-4,-4,-4,1,-3,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,3,0,1,1,3,0,1,-1,3,0,1,1,-5,-5,-5,0,1,-4,0,1,0,1
21,0,0,0,0,1,1,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,22,1,0,1,1,14,8,-4,-4,1,-4,-4,-4,-4,2,-4,1,8,-4,-4,-4,0,8,-4,-4,-4,1,8,-4,-4,-4,1,1,-4,-4,-4,0,9,-4,-4,4,-4,-4,-4,-4,4,-4,-4,-4,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,4,1,0,1,4,1,0,1,1,0,-4,0,1,-4,2,0,2,0
22,0,0,1,1,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,1,1,3,3,3,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,23,-4,0,1,2,13,8,-4,-4,1,-4,-4,-4,-4,2,0,-4,1,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,-4,3,-4,-4,4,-4,-4,-4,-4,9,-4,-4,-4,-4,9,-4,-4,-4,-4,9,-4,-4,1,5,-4,-4,0,10,-4,-4,1,10,-4,-4,1,10,-4,-4,1,10,-4,-4,1,1,0,-4,1,0,-4,1,0,1,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,-4,1,1,2,13,8,-4,-4,1,-4,-4,-4,-4,2,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,1,-4,-4,-4,0,1,-4,-4,0,-4,2,-4,-4,2,-4,-4,-4,-4,2,1,0,-4,-4,2,1,0,-4,-4,2,1,0,1,2,2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,2,2,0,1,2,0,-4,2,0,-4,3,0,3,0
25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,1,1,16,8,-4,-4,1,-4,-4,-4,-4,1,-4,-1,8,-4,-4,-4,1,8,-4,-4,-4,0,1,-4,-4,-4,1,1,-4,-4,-4,0,1,-4,-4,1,-4,-4,-4,1,1,-4,-4,-4,1,1,-4,-4,-4,0,1,-4,-4,0,1,-4,-4,1,1,-4,-4,0,1,-4,-4,0,1,-4,-4,0,1,-4,-4,0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
26,0,2,0,1,2,1,2,0,2,2,2,2,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,27,1,0,1,1,15,8,-4,-4,1,-4,-4,-4,-4,1,-5,-5,-5,-5,-5,-4,1,1,-4,-4,-4,1,1,-4,-4,-4,1,1,-4,-4,-4,-4,1,-4,-4,1,-4,-4,-4,1,8,-4,-4,-4,-4,1,-4,-4,-4,-4,1,1,0,1,1,1,0,1,1,2,0,1,1,2,0,1,1,2,0,1,1,3,0,1,3,0,-4,3,0,-4,3,0,3,0
31,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,32,0,1,1,2,15,8,-4,-4,1,-4,-4,-4,-4,4,-4,1,8,-4,-4,-4,1,10,-4,-4,-5,-5,-5,-5,-5,-4,1,10,-4,-4,-4,-4,10,-4,-4,11,-4,-4,-4,-4,11,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,6,1,0,1,6,1,0,1,6,1,0,1,6,1,0,1,1,0,-4,1,0,-4,1,0,1,0
34,0,0,0,0,1,1,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,35,-4,1,1,1,13,8,-4,-4,1,-4,-4,-4,-4,4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,1,8,-4,-4,-4,-4,3,-4,-4,10,-4,-4,-4,1,10,-4,-4,-4,-4,10,-4,-4,-4,1,10,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,1,0,-4,2,0,-4,2,0,2,0
36,0,0,0,0,0,1,0,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,2,3,3,3,3,3,3,3,37,0,1,1,2,16,8,-4,-4,1,38,-4,-4,-4,4,-4,0,10,-4,-4,-4,-1,10,-4,-4,1,-4,10,-4,-4,-4,1,10,-4,-4,-4,0,10,-4,-4,10,-4,-4,-4,-4,6,-4,-4,-4,-4,6,-4,-4,-4,-4,6,-4,-4,1,6,-4,-4,0,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
37,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,38,0,1,1,2,15,8,-4,-4,1,37,-4,-4,-4,4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,-1,10,-4,-4,6,-4,-4,-4,1,6,-4,-4,-4,-4,6,-4,-4,-4,-4,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
40,0,0,2,0,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,41,-4,1,1,2,13,8,-4,-4,1,-4,-4,-4,-4,4,0,-4,8,-4,-4,-4,1,8,-4,-4,-4,0,3,-4,-4,-4,1,3,-4,-4,-4,1,10,-4,-4,10,-4,-4,-4,1,10,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,1,6,-4,-4,1,6,-4,-4,1,10,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-4,-4,-4,-4,-4,-4,1,0,2,0
42,0,1,0,0,2,2,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,-1,0,1,2,15,8,-4,-4,1,-4,-4,-4,-4,1,0,-4,8,-4,-4,-4,0,9,-4,-4,-4,0,4,-4,-4,-5,-5,-5,-5,-5,-4,-4,4,-4,-4,4,-4,-4,0,-4,4,-4,-4,-4,-4,4,-4,-4,0,-4,4,-4,-4,0,4,-4,-4,0,4,-4,-4,0,4,-4,-4,0,4,-4,-4,0,4,-4,-4,0,-4,-4,1,-4,-4,-4,-4,-4,-4,-4
43,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,44,0,1,1,1,15,8,-4,-4,1,-4,-4,-4,-4,2,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,3,-4,-4,-4,0,10,-4,-4,0,-4,9,-4,-4,4,-4,-4,-4,-4,4,1,0,-4,-4,10,1,0,-4,-4,10,1,0,-1,4,1,0,0,4,0,2,1,4,0,2,-1,4,0,2,0,4,0,2,-1,0,2,-4,0,2,-4,0,2,0,2
44,0,0,0,0,1,1,1,2,2,2,1,1,2,0,0,2,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,-4,0,1,2,12,8,-4,-4,1,46,-4,-4,-4,1,-4,-4,8,-4,-4,-1,-4,8,-4,-4,0,-4,8,-4,-4,-4,1,8,1,0,-4,-4,8,1,0,1,1,0,-4,1,1,1,0,-4,-4,1,1,0,-4,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,8,1,0,1,1,0,-4,1,0,-4,1,0,0,0
48,0,0,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,49,0,0,1,2,14,8,-4,-4,1,-4,-4,-4,-4,1,-4,1,8,-4,-4,-4,0,8,-4,-4,-4,0,3,-4,-4,-4,1,3,1,0,-4,0,3,1,0,3,1,0,-4,0,3,1,0,-4,-4,3,1,0,-4,1,3,1,0,1,3,1,0,1,3,2,0,1,3,2,0,1,3,2,0,1,3,3,0,1,3,0,-4,3,0,-4,3,0,2,0
51,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,52,-4,0,1,1,13,8,-4,-4,1,51,-4,-4,-4,1,1,-4,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,1,8,-4,-4,-4,-4,8,-4,-4,3,-4,-4,-4,-4,9,-4,-4,-4,1,4,1,0,-4,-4,4,1,0,1,4,1,0,1,4,1,0,1,4,1,0,1,9,1,0,1,4,1,0,1,2,0,-4,3,0,-4,3,0,3,0
54,1,0,0,0,0,1,0,0,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,55,-1,1,1,2,15,8,-4,-4,1,-4,-4,-4,-4,2,1,-4,8,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,-4,10,-4,-4,10,-4,-4,-4,1,4,-4,-4,-4,-4,9,-4,-4,-4,1,10,-4,-4,1,10,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-4,-4,-4,1,0,-4,1,0,1,0
55,0,0,1,0,0,1,1,2,1,1,2,2,2,2,2,2,0,2,2,0,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,56,0,1,1,2,14,8,-4,-4,1,-4,-4,-4,-4,4,-4,0,8,-4,-4,-4,1,8,-4,-4,-4,1,10,-4,-4,-4,1,10,-4,-4,-4,-4,10,-4,-4,10,-4,-4,-4,1,6,-4,-4,-4,-4,11,-4,-4,-4,1,11,-4,-4,1,7,-4,-4,1,7,-4,-4,1,7,-4,-4,1,7,-4,-4,1,7,1,0,1,2,0,-4,2,0,-4,3,0,3,0
60,0,0,0,1,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,61,-4,0,1,2,13,8,-4,-4,1,-4,-4,-4,-4,1,-1,-4,8,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,1,9,-4,-4,-4,0,9,-4,-4,9,-4,-4,-4,-4,5,-4,-4,-4,-4,5,1,0,-4,-4,5,1,0,1,5,1,0,1,5,1,0,0,5,1,0,1,5,1,0,1,5,1,0,1,1,0,-4,1,0,-4,1,0,1,0
61,0,0,0,0,0,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,62,0,1,1,1,16,8,-4,-4,1,63,-4,-4,-4,1,-4,0,3,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,-4,1,10,-4,-4,-4,0,6,-4,-4,6,-4,-4,-4,0,6,-4,-4,-4,-4,6,-4,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,6,-4,-4,1,-4,-4,-4,1,0,-4,1,0,1,0
63,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,1,1,1,16,1,-4,-4,1,-4,-4,-4,-4,1,-4,-1,8,-4,-4,-4,1,9,-4,-4,-4,-1,4,-4,-4,-4,1,4,-4,-4,-4,-4,4,1,0,4,0,1,-4,0,4,0,2,-4,-2,4,0,2,-4,-1,4,0,2,-1,4,0,2,-1,4,0,2,0,4,0,2,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,2,0,2
64,0,0,0,0,0,0,0,2,2,1,1,1,1,0,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,-4,1,1,1,12,8,-4,-4,1,-4,-4,-4,-4,1,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,-1,8,-4,-4,0,-4,3,-4,-4,-3,-4,-4,0,-4,9,-4,-4,-1,-4,9,-4,-4,-1,-4,9,-4,-4,0,9,-4,-4,-1,5,-4,-4,0,5,-4,-4,0,5,-4,-4,0,10,-4,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,1,1,16,8,-4,-4,1,66,68,-4,-4,1,-4,1,10,-4,-4,-4,0,10,-4,-4,-4,0,10,-4,-4,-4,1,10,-4,-4,-4,-4,10,-4,-4,4,-4,-4,-4,-4,11,-4,-4,-4,0,11,-4,-4,-4,-1,11,-4,-4,-1,11,0,1,1,7,0,1,1,7,-3,-3,0,7,0,1,-1,7,0,1,0,1,0,-4,0,1,-4,1,0,1,0
67,0,0,0,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,1,1,15,8,-4,-4,1,66,67,-4,-4,1,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,0,10,-4,-4,-4,0,4,-4,-4,0,-4,4,-4,-4,4,-4,-4,0,-4,4,-4,-4,0,-4,4,-4,-4,0,-4,4,-4,-4,0,10,-4,-4,0,4,-4,-4,0,9,-4,-4,0,9,-4,-4,1,9,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-5,-5
70,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,71,0,0,1,1,16,8,-4,-4,1,-4,-4,-4,-4,1,-4,-1,8,-4,-4,1,-4,3,-4,-4,-4,1,3,-4,-4,-4,1,3,-4,-4,-4,-4,10,-4,-4,10,-4,-4,-4,1,4,-4,-4,-4,-1,4,-4,-4,-4,-4,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,1,4,-4,-4,-1,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4
72,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,73,-4,1,1,1,12,8,-4,-4,1,72,-4,-4,-4,1,-4,-4,8,-4,-4,0,-4,8,-4,-4,-4,0,8,-4,-4,-4,0,8,-4,-4,-4,-4,9,-4,-4,9,-4,-4,1,-4,4,-4,-4,-4,-4,9,-4,-4,-4,1,9,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,0
